Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-16,-16,-10,-16,21,0,59,0,1018,-11,10,109,11
2021.02.17,-20,-12,-7,-12,8,3,33,0,1014,-8,10,117,4
2021.02.18,-22,-18,-15,-18,8,6,30,0,1012,-18,10,93,4
2021.02.19,-20,-26,-20,-26,26,3,76,0,1012,-22,10,95,14
2021.02.22,-13,-20,-14,-20,18,70,82,0,1015,-15,2,117,12
2021.02.23,-7,-10,-5,-10,8,58,79,0,1013,-6,5,132,5
2021.02.24,-4,-8,-5,-8,18,66,77,0,991,-8,5,107,11
2021.02.25,1,-3,1,-3,6,100,98,1.2,990,-1,4,180,4
2021.02.26,-6,-11,-6,-11,12,97,95,0.4,994,-6,2,258,8
2021.03.01,-7,-13,-6,-13,30,89,86,0.6,1002,-6,1,253,17
2021.03.02,-8,-13,-6,-13,27,93,93,0.5,1007,-7,2,256,13
