Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-11,-12,-7,-12,26,7.75,69,0,1020,-7,10,115.25,14
2021.02.17,-14,-7.75,-5,-7.75,26,8.25,50.25,0,1016.25,-5,10,141.25,13
2021.02.18,-16,-11.75,-7,-11.75,21.5,29.5,64,0,1013,-7,10,102,10.25
2021.02.19,-16,-21.75,-13.75,-21.75,36,17.75,80,0,1013.25,-13.75,10,109.25,18.25
2021.02.22,-3.75,-6,-1.75,-6,27.25,91.25,92,0.425,1017,-1.75,8,129.25,14
2021.02.23,-2,-4.75,-2,-4.75,20.5,93.25,93,0,1015,-2,10,158.25,10
2021.02.24,-1.75,-4.75,-0.75,-4.75,24.25,100,95.5,1.35,1006.5,-0.75,10,151.25,14
2021.02.25,1.25,0,1.25,0,22.25,100,100,2.975,993,1.25,7,296,14.25
2021.02.26,0,-3,0.25,-3,15.25,100,99,1.7,1013.25,0.25,2,278.25,11
2021.03.01,-2.75,-7.75,-1.75,-7.75,49,100,98,1.65,1005.25,-1.75,5,261,24
2021.03.02,-2,-6,0,-6,40.25,100,97,1.6,1014,-1,2,261,22.25
