Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-12.625,-13.16666667,-7.833333333,-13.16666667,24.45833333,5.458333333,66.625,0,1019.583333,-8,10,113.25,13.04166667
2021.02.17,-15.29166667,-8.875,-5.708333333,-8.875,16.58333333,6.666666667,46.29166667,0,1015.875,-5.833333333,10,129.625,7.916666667
2021.02.18,-17.75,-13.16666667,-9.375,-13.16666667,17.79166667,21.66666667,49.875,0,1012.458333,-10.08333333,10,99.83333333,8.666666667
2021.02.19,-17.16666667,-22.66666667,-15.04166667,-22.66666667,34.25,15.20833333,78.45833333,0,1013.083333,-15.25,10,103.4166667,17.04166667
2021.02.22,-6.25,-9.875,-4.791666667,-9.875,25,83.33333333,88.04166667,0.295833333,1016.5,-4.875,5.333333333,126.3333333,13.04166667
2021.02.23,-4.208333333,-6.291666667,-2.875,-6.291666667,16.70833333,86.16666667,87.125,0.0375,1014.375,-3.208333333,8.708333333,150.0833333,8.666666667
2021.02.24,-2.208333333,-5.25,-1.541666667,-5.25,22.20833333,93.54166667,87.70833333,0.820833333,1000.75,-2.166666667,7.791666667,141.7916667,13.25
2021.02.25,1.25,-1.583333333,1.25,-1.583333333,14.79166667,100,99.16666667,2.566666667,991.7083333,1.125,6.166666667,266.625,10.25
2021.02.26,-1.166666667,-4.666666667,-0.916666667,-4.666666667,15.58333333,99.625,98.66666667,1.375,1005.916667,-0.916666667,2.083333333,273.625,10.54166667
2021.03.01,-4.208333333,-9.708333333,-3.25,-9.708333333,41.79166667,95.95833333,93.125,1.395833333,1004.291667,-3.333333333,3.166666667,259.0416667,22.95833333
2021.03.02,-4.291666667,-8.375,-2.708333333,-8.375,35.125,98.29166667,95.58333333,1.229166667,1012.083333,-3.375,2,260.3333333,20.125
