Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-0.533679391,-0.32978558,-1.2619688,-0.32978558,-0.810169178,0.56226765,0.882804177,,-0.537118132,-1.187185264,,-0.65184536,0.307322191
2021.02.17,-0.156483074,-0.857302159,-1.169816436,-0.857302159,-1.953784039,-0.838174608,0.062562372,,0.371681295,-1.151493506,,-1.754513314,-1.902037524
2021.02.18,-1.416624846,-0.799192003,-0.757343302,-0.799192003,-0.492789057,0.360927566,-1.677883144,,-0.114171511,-0.370874175,,-0.457922842,-0.417034831
2021.02.19,-0.277862084,-0.315660579,0.466853372,-0.315660579,0.994395726,1.940711224,-1.446053221,,-0.424239937,1.696291604,,-1.070539755,-0.827527428
2021.02.22,-0.534317078,-0.573203919,-0.057325791,-0.573203919,-0.780388249,-1.174976473,-1.083902052,-0.679237798,-0.158494567,0.368871234,-1.869970948,-0.206632991,1.16765299
2021.02.23,-1.666446045,-1.103562661,-1.109775699,-1.103562661,-0.96327124,1.227879684,-1.776409072,8.520247703,0.126171429,-1.216827938,-0.54550424,-0.628106817,-0.747761515
2021.02.24,-0.467994361,0.718575053,0.431600753,0.718575053,-0.533456092,1.013283975,-1.630926299,0.745217073,-1.328113915,0.867099183,-1.92742611,-0.272704201,-1.123266007
2021.02.25,1.841378998,0.366071245,1.841378998,0.366071245,-1.672207843,25,24.94067232,-0.793898625,24.99717191,2.637734936,4.293262621,9.807289091,-1.581364637
2021.02.26,0.794306494,1.007813982,0.86251708,1.007813982,1.157910394,4.163657143,11.67758698,9.096371342,-1.434763416,0.86251708,9.123966942,0.529117334,-0.30570536
2021.03.01,-1.145130594,-1.162153358,-1.114752773,-1.162153358,-1.472484115,-1.28855423,-1.806529423,2.524618951,-0.666306251,-1.139070312,-0.995033766,-0.442172475,1.963088208
2021.03.02,-1.097931505,-1.471421301,-1.711587491,-1.471421301,-1.433853549,0.28342992,-1.200413912,-0.477294138,-0.239485941,-1.685670414,#DIV/0!,3.270963695,-0.41595514
