Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-12.5,-13,-8,-13,24.5,4,67,0,1020,-8,10,113,13
2021.02.17,-14,-9,-6,-9,11.5,7,46,0,1016,-6,10,126,6
2021.02.18,-16,-12,-8,-12,17,12.5,53,0,1012,-8,10,100,8
2021.02.19,-17,-23,-15,-23,35,8,78,0,1013,-15,10,101.5,17
2021.02.22,-5.5,-9,-4,-9,26,81.5,87,0.3,1017,-4,6,126.5,12
2021.02.23,-3,-6,-3,-6,16.5,89,86,0,1014,-4,10,148.5,9
2021.02.24,-3,-5,-1,-5,21,100,87.5,0.25,1000.5,-1.5,9,138.5,13
2021.02.25,1,-1.5,1,-1.5,13.5,100,99,2.3,992,1,6,276.5,9.5
2021.02.26,-1,-4,0,-4,14,100,99,1.05,1006,0,2,274.5,11
2021.03.01,-5,-11,-4,-11,42.5,96,92.5,1.3,1004,-4,2.5,259,23
2021.03.02,-5,-8.5,-2.5,-8.5,34.5,100,95,1.15,1013,-3.5,2,260,21
